,작성자,시간,내용
1965,rlfm****,2022.10.08. 12:54,더듬당에서 저런말하는 사람 있음 생매장당할거다~~~민주가 없잖아
1966,hikm****,2022.10.08. 12:54,소신있게 말함.그리고 당연히 징계가 맞음.이준석 던진말에 국짐 국개들 명예을 실추햏다고 징계한것 그런데 윤썩열 비속어.욕설등 지들의 명예을 실추했는디 징계조차 못함~~~어이가 없다.
1967,dlwl****,2022.10.08. 12:54,"정상적인 사고를 하는 정치인이라면 판독불가의 소리로 반미조작질한 mbc기자와 방송을 비난하고 이를 확대 재생산하며 반정부 동맹이간질 선동해대는 민주당을 비판해야 맞지않는가...그러함에도 불구하고. 자기정치이익에 뇌가 마비되어 악질적인 거짓뉴스,거짓선동무리에 동조해서 자기당과 보수정부를 비난하고 한미동맹혼란을 노리는 종북좌파무리에 협조하고있는 유승민의 행태는 정말로 이 시대 정치코메디언이고 그동안 보수정치인이라고 해서 했던 그 모든 말과 소신이 모두 거짓고 위선임을 만천하에 보여주는 것이다.그는 부끄러움과 챙피함을 느켜야 할것이다"
1968,rinh****,2022.10.08. 12:53,인자 솔직히 유씨가 머리 ㄴㅂ 거리는지 모르겠다. 그대 지금 잠꼬대 하고 있는가?
1969,baej****,2022.10.08. 12:53,도리도리는 많이 모질라지 얘 찍은애들 진짜 접시물에 코 박아라
1970,neob****,2022.10.08. 12:53,유승민 옳은말 하면 또 해당행위한다고 난리부루스 치겠네
1971,lsyd****,2022.10.08. 12:53,당연이 징계해야지유승민 으로 정권교체 합시다
1972,qaz9****,2022.10.08. 12:52,그냥 나가라. 당에 일도 도움이 안되는 놈이 왜 붙어있나?
1973,123w****,2022.10.08. 12:52,윤석열 윤리위 징계하면 해외토픽감이겠다 유승민씨의 뜻대로 완존 콩가루국가되는거지
1974,rlfm****,2022.10.08. 12:52,입술이 얇아서 근질근질하지? 너는 그 주둥이로 망한다.
1975,jaec****,2022.10.08. 12:52,멋지다 !!기생충들 눈치보며 아닥 하고 있을때 당당하게 바른말 하는 저런분이 바로 진정한 보수!!
1976,redr****,2022.10.08. 12:52,이미친 ㅇㅇ넌어느당이냐 이상한놈이내
1977,oock****,2022.10.08. 12:52,유승민 이라고 쓰고 역적놈라고 읽고 싶다
1978,jini****,2022.10.08. 12:52,괘숭민 역적이 말이많아 좀가라 더듬딸당에 제발좀
1979,jamu****,2022.10.08. 12:52,유승민 이라고 쓰고 뿌락지 라고 읽고 싶다
1980,aill****,2022.10.08. 12:52,"아직도 당원이었어?????? 탄핵감이네,, 혈세로 2천만원짜리 변기년외 한씨와 친일파 떨거지들 다 델꾸 친일파 혈세충 윤재앙 아웃!!!!!! 스트레스 그만주고 꺼져 쨔샤!!!!!! 나가!!!!!!"
1981,an00****,2022.10.08. 13:36,눈치보기 바쁘겠지~윤님이 이게 맞다하면 맞는거야 어디 당에서 쫒겨날라고 공천받을려면 싸바싸바 해야지 국민은 개돼진데 중요하니 내가 살고 봐야지
1982,eng9****,2022.10.08. 12:51,가지가지한다
1983,dolm****,2022.10.08. 12:51,ㅉ ㅉ 배신자는 영원히 배신자여
1984,hanp****,2022.10.08. 12:51,무식하면 보수가된다.
1985,popo****,2022.10.08. 12:51,유승민은 왜자꾸 기어나온겨? 자리있나?
1986,kim7****,2022.10.08. 12:50,상대방 없는곳에서 혼잣말 한거잖아~~ 혼잣말 한것도 처벌한다면 처벌 안받을 사람이 없겠다.
1987,ebon****,2022.10.08. 12:50,좌파들의 역선택에 취해. 우파내에서 온갖 분탕질과 배신을 일삼던 악질 국개.....박통덕에 국개된 게. 간이 부어 개인인기정치하려고. 내부총질에. 민주당에 청년정책 협의하라고 보내니. 되례 전라도에 거액의 문화센터 설립하는거 합의하고. 민주당과 야합해. 좌파가 원하는 정책을 해버림. 결국 박통등에 앞장서. 칼 박고. 선거떄 지역 어르신들 속이려. 박통사진 돌려달래도 거부하고 박통사진 끝까지 걸고 선거함...아주 간악하고 추악하고 악랄한 넘...이준석도 저넘이 끌고 오고. 지깐넘이 니 주제에 대권의 야망이 있는거냐? 구역질나는 넘.
1988,chor****,2022.10.08. 12:50,이 인간부터 징계좀 해라
1989,gawo****,2022.10.08. 12:50,이분은 가만히보면 당내에서 바른소리하는것 처럼 보일때도 있지만. 그건 절대아닌거같음. 예를 들어 대선후보에서 떨어졌을때도 다른 후보들은 지지유세 같은거랑 할때 이분은 전혀안보이고 은둔하다가 뭐가 이슈가 생기면 머리들이 밀고 이름슬쩍 끼워놓고. 그냥 주인인국민한테 관심못받아서 발광난분같음.
1990,iblu****,2022.10.08. 12:49,유승민 야이 배신자 자슥아 좌빨들이 역선택 지지해주니깐 흥분되나 무슨 개혁보수같은 헛소리 그만하고 좌파로 꺼지라 보수지지자는 너를 사람으로 안본다
1991,sun7****,2022.10.08. 12:48,유상민 하태경 이준석은 그냥 당을 옮기는게 맞음.
1992,huna****,2022.10.08. 12:48,상놈의 종자..니가 양반이면 부끄러워서라도 친구 아들 편들지 못했으리라..정치에 입문시키는 공사구분 못하는 짓은 더더욱 못했겠지
1993,kore****,2022.10.08. 12:48,무능한 석렬이놈 대통 잘못뽑아서 나라가 개판이다 하루빨리 석렬이놈 탄핵하고 김건희 술집년 간방보내고 나라 바로세웁시다 이게 나라입니까~?
1994,mbsk****,2022.10.08. 12:48,개소리하는 배신자 유승민 쓰레기 당원은 왜 탈당 안하나~~ 똥바른 정당으로 꺼저라~
1995,mika****,2022.10.08. 12:48,당이 뭐라고 맞는 말한 사람 엄청 욕하네 당에 맹종이냐
1996,is_0****,2022.10.08. 12:48,보수 좌파 다 떠나서 인간이면 잘못한거에대해 사과를 해야 인간이지 그걸 빨고 있는 비정상인간들이 이사회와 민주주의에 암적인존재임
1997,kmsh****,2022.10.08. 12:47,한번 배신자는 꼭 다시 배신한다. 유배신...
1998,juyh****,2022.10.08. 12:47,할말은 하자고 소신있네. .유승민이 차기 대권주자
1999,elxm****,2022.10.08. 12:47,유승민하면 배신자란 단어만....
2000,forg****,2022.10.08. 12:46,승민이이놈 나쁜놈이네나가아무리준석이핵심관계자라도그건아니지배신자촉새 니는준석이가한징이잘했단말이냐개눈엔똥밖에안보인다더 딱이네 승민이가
2001,k200****,2022.10.08. 12:46,배신자 x x
2002,well****,2022.10.08. 12:46,아이고~ 승미나 승미나 너가 그런 쫌팽이 였나? 이준서기한테나 윤리위에나 당사무처에 이준서기 징계 사유가 뭐였는지 확인도 안해봤더나?
2003,j12w****,2022.10.08. 12:46,다 똑같은것끼리 정의로운척은....니네 다 굥같은 인간을 대통령으로 만든자들 아닌가...개고기를 양고기인척 판 인간들
2004,st85****,2022.10.08. 12:45,100%맞는말! 나라를 욕보이게한 죄! 참형에 쳐해야한다! 에 한표 던진다!
2005,shan****,2022.10.08. 12:45,국짐당 논리라면 윤석렬.권선동도 집계해야하는게 당연하다
2006,sona****,2022.10.08. 12:45,아이고ㆍㆍ이xx가 또 뭐라는거야? 좀 무시하고 기사도내지말지 ㆍㆍ;;언제까지 ㅜ 피곤하다ㅜㅜ
2007,gonb****,2022.10.08. 12:45,경제학자 출신이 퍼펙트 스톰의 국가적 위기에..대통령이라는 국가기관의 행위와 사적 영역을 구분 못하고..헛소리 지껄이나? 우리나라가 신정체제냐? 대통령이 쿠마리라도 되냐? 사적 발언과 구별좀 하자! 알면서도 그러겠지만!
2008,nouk****,2022.10.08. 12:44,캬! 이번 전당대회는 당대표로 유승민 무지성으로 찍는다 ㅋㅋㅋㅋ
2009,good****,2022.10.08. 12:44,배신자야 너는 그 입 다물어라
2010,kbhb****,2022.10.08. 12:44,맞는말이네
2011,soo7****,2022.10.08. 12:44,인간말종!!! 유승인 문재앙정부 비판은 한번도 본적이 없으니!!! 내부 총질 등에 칼꽂는 전형적인 배신을 밥먹듯이 하는 기회주의자!!!
2012,llto****,2022.10.08. 12:44,나 살자고 당을 엎을 사람. 지도자는 못되겠다
2013,s731****,2022.10.08. 12:44,21세가대한민국보수라는자들중에바른말하는사람단한사람이네ㅡㅡㅡ짝퉁추잡보수당버리고진정한보수당창당하시길!!!!
2014,sohy****,2022.10.08. 12:43,윤가랑 그 지지자는 자유민주주의 표방하면서 유승민처럼 입바른 소리하는 건 또 못 참네 의견이 하나로 통일 돼서 나아가야하면 전체주의랑 뭐가 다름 이렇게나 내로남불일 수가 없다~~~
2015,gawo****,2022.10.08. 12:43,무식해도 분수가 있어야지 그게 징계대상이냐?????ㅠㅠ
2016,lms7****,2022.10.08. 12:47,제발 징계좀 하자 탄핵으로!!!!!
2017,moon****,2022.10.08. 12:42,"얼른 가라 좌빨 당으로,,,"
2018,dodo****,2022.10.08. 12:42,준스기 대변인e냐
2019,hmsh****,2022.10.08. 12:42,바른미래당ㅡ재창당해라ㅡ녹슨ㅡ숱가락ㅡ자꾸올리지말고
2020,joco****,2022.10.08. 12:42,배신자유승민이 당대표되면 당말아먹고 윤정부 말아먹겠다~윤대통령은 혼잣말로중얼댄걸좌파가 욕처럼조작했지만 준석이는 전국을돌며내부총질.윤대통령씹고 떠들어댔잖아.~이런어거지인간이 무슨 당대표감이냐.~또 윤대통령을 박근혜처럼 배신하고있내 ~유승민대표되면 윤대통령 탄핵하자고 민주당에 건의할인간여~
2021,elim****,2022.10.08. 12:41,유승민도 좀 죽어 살어라
2022,ysco****,2022.10.08. 12:41,얘 는 댓글 안보나 ㆍ볼텐데 ㆍ설마ㆍ좋아요는 못누르겠지 ㆍ
2023,hsof****,2022.10.08. 12:41,배신자 놈
2024,cool****,2022.10.08. 12:41,한번 배신한자는 또 배신한더더니 꼭 맞는 말이구나.
2025,syb1****,2022.10.08. 12:41,국감 봤냐? ㅋㅋㅋㅋ 영국 도착해서 리셉션 하고 참배안하고 밥먹으러 갔데 ㅋㅋㅋㅋㅋㅋ 국힘친구 일왕은 참배하러 갔는데 이런거 보면 수박애들은 그럴게 쉴드 치고 싶은가?
2026,phy0****,2022.10.08. 12:41,영원한 x신자.
2027,jsb6****,2022.10.08. 12:40,니가 외국가서 경제학을 공부하고 똑똑하면 뭐하냐 세상을 보는 시야가 좁고 못때 처먹은 인성이 스스로 발목을 잡는데 멍청한 인간
2028,wind****,2022.10.08. 12:40,일마 이것도 죽을 날을 아니까 자꾸 깝쭉 되는데 ~ 배신자가 뭐 그렇치 뭐 ~ 달라 지겠나.
2029,all8****,2022.10.08. 12:40,국민의 힘이나 민주당이나 동시에 망하는게 신기하다. 하긴 쓰레기들이 당권잡았으니 당연히 망하지.
2030,qqaz****,2022.10.08. 12:40,근데 양두구육이라는 말도 윤석열 후보 당시 그쪽에서 먼저 했다는 뉴스도 있던데요?? 진짜지는 모르겠으나 그런 뉴스가 있더라고요
2031,syb1****,2022.10.08. 12:40,Mbc서 기사내용 중 놀랍던데 기사한줄 없네 언론 탄압 확실 독재냐?
2032,jhha****,2022.10.08. 12:39,윤석열은 대통령인데 징계를 어떻게합니까 장인어른!!!
2033,sss1****,2022.10.08. 12:39,"강의 하나 더해라 ""배신자의 삶"""
2034,k274****,2022.10.08. 12:39,"맹목적 국힘 지지하진 맙시다. 듣기싫으면 내부총질이라카고. . .정치적 의도도 있겠지만 맞는 말이잖소. 윤통이 그토록 부르짖던 공명정대. 왜 자기쪽엔 작동 안하는지. . .?? 암튼 기대는 애초에 없었지만 , 신뢰는 점점 바닥이요. 정부나 여당이나. . .생각없이 맹목적 지지하는 자들이나. . ."
2035,neob****,2022.10.08. 12:39,"들어보면, '~~끼'가 아니고 '~~람'이라고 '람'자가 들렸다....윤석열이 욕한거 없다.... 그리고 진짜 심각한건 mbc가 (미국)이라는 날조 자막을 붙여. 윤석열 죽이려 한미동맹 이간질을 시킨 이적질을 한게 문제다...저 악질 유승민은 진짜 독사같이 인간성이 배신으로 뭉쳐진 악질종자다.."
2036,sic7****,2022.10.08. 12:39,강한 자에겐 약하게 약한 자에겐 강하게
2037,jky0****,2022.10.08. 12:39,관상은 과학이여.
2038,vlqp****,2022.10.08. 12:39,국민일보가 아 국힘쪽이구나 첨알았넉
2039,1481****,2022.10.08. 12:39,왜저럼
2040,vica****,2022.10.08. 12:39,너가 살아있음을 징계해야된다.
2041,toto****,2022.10.08. 17:16,이준석과 유승민의 공통점은 문재인이나 이재명 비판은 안 한다는 점.
2042,tjft****,2022.10.08. 12:39,배신의 아이콘 ㅋㅋ 분탕치지말고 신당차리든가 더불어 공산당으로 꺼져라!!
2043,hjh5****,2022.10.08. 12:38,민주당 2중대ㅎㅎㅎ
2044,moon****,2022.10.08. 12:38,유승민꼬라지데로놀고있내 지발떠나가라
2045,knig****,2022.10.08. 13:23,지금의 사태에서 이준석이나 유승민이 정당성을 확보하려면 윤대통령이 명백한 잘못이 드러나야 하고 무엇보다 민주당 지지율이 제고되어야 한다 민주당이 머저리같이 하니 이준석과 유승민이 퇴로가 없는 것이다 민주당지지가 40% 50% 가면 이준석과 유승민의 여당 공격이 정당하다고 호응을 얻을 것이고국힘에서 탄압받는다는 이미지로 바람을 타고 민주당 품에 안길 수 잇을 것이다 민주당이 못하니 왜저래 대안이 뭐야 이런 느낌이 드는 것이다
2046,wjsd****,2022.10.08. 12:37,대통령한테 당원 ㅋㅋㅋㅋ 무능과 무뇌를 넘어 무지인가 ㅋ
2047,jky0****,2022.10.08. 12:37,승민아 준석이손잡고 나가라 너는항상배신자라는 꼬리표
2048,smoo****,2022.10.08. 12:36,생긴대로 놀고 있네 기회주의자
2049,ru12****,2022.10.08. 12:36,바른말 할줄 아는 진정한 보수정치인 응원한다!
2050,aaaa****,2022.10.08. 12:36,유승민 저자 역시 내부총질에 정권 무너뜨리기위한 심어둔 주사파가 아니면 무엇이냐???
2051,mhki****,2022.10.08. 12:36,이런좀탱이같은 이걸 대선후보라고 계파만들 장본인이다 에라이
2052,asd3****,2022.10.08. 12:36,공정하다 유승민
2053,knar****,2022.10.08. 12:35,이xx라 안했으니까 ㅋ 유배신 더 할말없지 탈당해
2054,voya****,2022.10.08. 12:35,반역자의 똥바른당에서 국민의힘 입당자는 당장 탈당하여 입방아를 찧어데도 괜찮다
2055,ceo_****,2022.10.08. 12:34,진짜 찌질이다.
2056,chan****,2022.10.08. 12:33,보수중 유일하게 인정하는 분
2057,kkmo****,2022.10.08. 12:33,승민이 정치 스타일. 그때나 지금이나 아군만 공격.
2058,kch5****,2022.10.08. 12:33,"또라이 승민아, 전용기타고 인도에 가서 타지마할 관광에 국민 세금 4억원 사용한 김정숙에게 한마디 좀 해 봐라? 적과 아군을 구분 못하고 내부총질하는 유승민은 대가리가 무식하고 이상한 정신병자 같은 데?"
2059,k049****,2022.10.08. 12:33,니 지금 발언이 해당행위고 징계대상이다..대통령이 니 친구냐? 닭대가리상은 상종하면 안된다
2060,chic****,2022.10.08. 12:33,그건 국힘 윤리위가 윤석열의 사적기관이기 때문이지요
2061,taij****,2022.10.08. 16:09,ㅋ~! 이노문 지 아비얼굴에 침뱉네~!탈당하던가~? 은퇴해라~!! 또다시 배신의길로가는가~?? ㅉ~! 뭐하자는건지 불쌍타 ~?
2062,yzch****,2022.10.08. 12:33,경상도라말하지마라
2063,modn****,2022.10.08. 12:33,이정권에 공정이란 없다 사기와 거짓부랭이만 존재~~다 내려 놓아야
2064,skyg****,2022.10.08. 12:33,저러니 대선도 지고 생뚱맞게 무관한 경기도지사도 경선에서 졌지 ㅋㅋㅋ
2065,aave****,2022.10.08. 12:32,탈당좀해 안보이면 좋겠다
2066,jlks****,2022.10.08. 12:32,아군과 적을 모르는 당신한심합니다
2067,hasa****,2022.10.08. 12:32,유승민은 여당이여 야당이여. 야당이 대통령을 조림질해도 너는 경쟁후보였어도 여당이면 감싸고 보호하는 액션을 먼저 취해야지. 정치역사가 오래됬어도 맨날 큰정치를 못하고 좁쌀정치행태냐.
2068,gold****,2022.10.08. 12:32,이준석하고 탈당하고 창당해라...너도 노선이 안맞는데 왜 있냐!!!보수에서 지지도 못받는데...니가 그런말하고 좋아요는 더민주당과 개딸들이 좋아요 눌러준다
2069,jins****,2022.10.08. 12:32,이준석이 억울하다거나 징계부당함을 주장한다면 국힘당에 잇어서는 안된다 당윤리위는 사법부 법원이랑똑같다 중진이 당조직을 부정하면 당을부정하는 것이고 당을 부정하는 사람도 징계해야 한다 출당의 강력 징계가 필요하다 이준석이나 하태경 허은아 유승민까지 답답하다 그렇게 억울하면 재심청구나 소송해야 한다 자꾸 아군인 것 같은 언론에 여론전 하려고 기사 내지 말았으면 한다 언론도 뭘 더 바라고 계속 편드는지 어리석다는 생각밖에 안된다 정치혐오 불러 와서 윤대통령과 국힘과 이준석 유승민 동반지지율 하락한다 국민적 저항감과 짜증만 유발시킬 뿐이다
